ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,host_country,is_host,type_of_event
9737,"Alessandro ""Sandro"" Bellucci",M,29.0,170.0,56.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,Bronze,USA,False,individual_games
9739,Antonella Bellutti,F,27.0,180.0,73.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold,USA,False,individual_games
9739,Antonella Bellutti,F,31.0,180.0,73.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Women's Points Race,Gold,Australia,False,individual_games
9747,Stefania Belmondo,F,23.0,158.0,45.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold,France,False,individual_games
9747,Stefania Belmondo,F,23.0,158.0,45.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Silver,France,False,individual_games
9747,Stefania Belmondo,F,25.0,158.0,45.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Bronze,Norway,False,individual_games
9747,Stefania Belmondo,F,29.0,158.0,45.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver,Japan,False,individual_games
9747,Stefania Belmondo,F,33.0,158.0,45.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze,USA,False,individual_games
9747,Stefania Belmondo,F,33.0,158.0,45.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold,USA,False,individual_games
9747,Stefania Belmondo,F,33.0,158.0,45.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver,USA,False,individual_games
9750,Mireia Belmonte Garca,F,21.0,170.0,59.0,Spain,ESP,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Silver,UK,False,individual_games
9750,Mireia Belmonte Garca,F,21.0,170.0,59.0,Spain,ESP,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,Silver,UK,False,individual_games
9750,Mireia Belmonte Garca,F,25.0,170.0,59.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,Gold,Brazil,False,individual_games
9750,Mireia Belmonte Garca,F,25.0,170.0,59.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,Brazil,False,individual_games
9756,Anatoly Alekseyevich Beloglazov,M,23.0,155.0,52.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold,Soviet Union,True,individual_games
9757,Sergey Alekseyevich Beloglazov,M,23.0,165.0,57.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,Soviet Union,True,individual_games
9757,Sergey Alekseyevich Beloglazov,M,32.0,165.0,57.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,South Korea,False,individual_games
9770,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,USA,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,Gold,Germany,False,individual_games
9770,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,USA,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,Gold,Germany,False,individual_games
9776,Vladimir Pavlovich Belousov,M,21.0,173.0,78.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold,France,False,individual_games
9782,Nikolay Grigoryevich Belov,M,32.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Finland,False,individual_games
9788,Irina Nikolayevna Belova (Ilyichova-),F,24.0,175.0,62.0,Russia,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,Silver,Spain,False,individual_games
9789,Yelena Pavlovna Belova (-Kalyanova),F,26.0,172.0,58.0,Russia,EUN,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze,France,False,individual_games
9803,Daima Mayelis Beltrn Guisado,F,28.0,182.0,104.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Heavyweight,Silver,Australia,False,individual_games
9803,Daima Mayelis Beltrn Guisado,F,31.0,182.0,104.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Heavyweight,Silver,Greece,False,individual_games
9823,Anastasiya Yevgenyevna Belyakova,F,23.0,173.0,60.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Bronze,Brazil,False,individual_games
9829,David Sagitovich Belyavsky,M,24.0,165.0,55.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,Brazil,False,individual_games
9832,Sergey Nikolayevich Belyayev,M,36.0,,,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver,USA,False,individual_games
9832,Sergey Nikolayevich Belyayev,M,36.0,,,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,USA,False,individual_games
9833,Yevgeny Prokopyevich Belyayev,M,21.0,188.0,91.0,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver,Austria,False,individual_games
9848,Rhadi Ben Abdesselam,M,31.0,180.0,65.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,Silver,Italy,False,individual_games
9864,Larbi Ben Boudaoud,M,26.0,170.0,66.0,France,FRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight,Silver,Australia,False,individual_games
9993,Brunon Bendig,M,21.0,169.0,54.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Bantamweight,Bronze,Italy,False,individual_games
9998,Kurt Bendlin,M,25.0,178.0,91.0,Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,Bronze,Mexico,False,individual_games
10011,Gbor Benedek,M,25.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver,Finland,False,individual_games
10012,Jnos Benedek,M,27.0,159.0,60.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Featherweight,Bronze,Germany,False,individual_games
10033,Andrea Benelli,M,36.0,173.0,80.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,Bronze,USA,False,individual_games
10033,Andrea Benelli,M,44.0,173.0,80.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Skeet,Gold,Greece,False,individual_games
10048,Meaghan Benfeito,F,27.0,155.0,48.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,Bronze,Brazil,False,individual_games
10085,Rolf-Gran Bengtsson,M,46.0,171.0,67.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver,China,False,individual_games
10098,Hasna Benhassi,F,26.0,166.0,47.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,Silver,Greece,False,individual_games
10098,Hasna Benhassi,F,30.0,166.0,47.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,Bronze,China,False,individual_games
10105,Amar Benikhlef,M,26.0,186.0,90.0,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Middleweight,Silver,China,False,individual_games
10149,"Huelet Leo ""Joe"" Benner",M,34.0,178.0,100.0,USA,USA,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,Finland,False,individual_games
10156,Basil Robert Bennett,M,25.0,183.0,77.0,USA,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Hammer Throw,Bronze,Belgium,False,individual_games
10157,"Robert Earl ""Bob"" Bennett",M,17.0,183.0,78.0,USA,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Italy,False,individual_games
10157,"Robert Earl ""Bob"" Bennett",M,21.0,183.0,78.0,USA,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Backstroke,Bronze,Japan,False,individual_games
10158,"Robert Howard ""Bob"" Bennett",M,28.0,188.0,98.0,USA,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Hammer Throw,Bronze,UK,False,individual_games
10160,Brooke Marie Bennett (-Frioud),F,16.0,165.0,57.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,Gold,USA,True,individual_games
10160,Brooke Marie Bennett (-Frioud),F,20.0,165.0,57.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,Gold,Australia,False,individual_games
